time,position,velocity,acceleration
0,0.3484,-0.172814815,-2.928
0.05,0.343133333,-0.289185185,-3.812895062
0.1,0.328733333,-0.493511111,-5.05191358
0.15,0.299266667,-0.798592593,-6.127197531
0.2,0.2504,-1.15537037,-6.190773663
0.25,0.182133333,-1.473740741,-4.937658436
0.3,0.098933333,-1.69137037,-2.632592593
0.35,0.007066667,-1.762666667,0.319567901
0.4,-0.0842,-1.665074074,3.430082305
0.45,-0.1658,-1.407814815,6.264218107
0.5,-0.2304,-1.014592593,8.497242798
0.55,-0.2712,-0.523592593,9.87090535
0.6,-0.284533333,0.012666667,10.24440329
0.65,-0.2696,0.541148148,9.603251029
0.7,-0.228066667,1.010333333,8.021296296
0.75,-0.1644,1.374666667,5.655144033
0.8,-0.084933333,1.597481481,2.748004115
0.85,0.0018,1.65862963,-0.394403292
0.9,0.087466667,1.555148148,-3.465
0.95,0.163466667,1.297444444,-6.163395062
1,0.222266667,0.913074074,-8.215020576
1.05,0.258266667,0.441555556,-9.409300412
1.1,0.267866667,-0.066740741,-9.636337449
1.15,0.250933333,-0.559740741,-8.914876543
1.2,0.209466667,-0.991703704,-7.344032922
1.25,0.147733333,-1.321962963,-5.074444444
1.3,0.071933333,-1.518481481,-2.322407407
1.35,-0.0102,-1.562481481,0.638847737
1.4,-0.090466667,-1.451518519,3.520288066
1.45,-0.161133333,-1.195962963,6.032983539
1.5,-0.2148,-0.822444444,7.905720165
1.55,-0.2464,-0.372222222,8.954176955
1.6,-0.2532,0.108444444,9.106213992
1.65,-0.235,0.574259259,8.35526749
1.7,-0.193266667,0.977333333,6.773539095
1.75,-0.133133333,1.277555556,4.539465021
1.8,-0.060333333,1.447703704,1.88718107
1.85,0.0174,1.472703704,-0.925514403
1.9,0.0928,1.350814815,-3.625041152
1.95,0.157866667,1.094407407,-5.931790123
2,0.2064,0.732851852,-7.618436214
2.05,0.233933333,0.301703704,-8.527386831
2.1,0.2376,-0.154851852,-8.563641975
2.15,0.217533333,-0.589148148,-7.739506173
2.2,0.176066667,-0.958481481,-6.166028807
2.25,0.117733333,-1.228481481,-4.014526749
2.3,0.048333333,-1.375037037,-1.486687243
2.35,-0.025333333,-1.382592593,1.172160494
2.4,-0.095466667,-1.251666667,3.681872428
2.45,-0.155333333,-0.99862963,5.798209877
2.5,-0.1992,-0.648481481,7.323333333
2.55,-0.222666667,-0.236444444,8.099670782
2.6,-0.2236,0.19462963,8.048909465
2.65,-0.2022,0.600851852,7.188148148
2.7,-0.160866667,0.941296296,5.625432099
2.75,-0.1042,1.184407407,3.530164609
2.8,-0.037666667,1.30762963,1.103312757
2.85,0.031866667,1.298333333,-1.411522634
2.9,0.097333333,1.159481481,-3.754444444
2.95,0.152333333,0.906925926,-5.697942387
3,0.191533333,0.566333333,-7.054197531
3.05,0.211066667,0.172962963,-7.692530864
3.1,0.2094,-0.234222222,-7.548621399
3.15,0.186466667,-0.612444444,-6.643374486
3.2,0.145466667,-0.923962963,-5.095473251
3.25,0.090333333,-1.141037037,-3.065802469
3.3,0.026733333,-1.242074074,-0.749053498
3.35,-0.038866667,-1.218,1.620205761
3.4,-0.099866667,-1.073,3.809465021
3.45,-0.150466667,-0.820962963,5.594444444
