time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
0,0.143533333,-0.290592593,0.194933333,-0.286666667,0.246866667,-0.269111111,0.292266667,-0.435333333,0.3484,-0.172814815
0.05,0.131933333,-0.378296296,0.184066667,-0.392444444,0.237733333,-0.405166667,0.275866667,-0.601222222,0.343133333,-0.289185185
0.1,0.111666667,-0.507311111,0.163,-0.552822222,0.216133333,-0.619133333,0.243866667,-0.856111111,0.328733333,-0.493511111
0.15,0.082,-0.648074074,0.130533333,-0.743111111,0.179066667,-0.889259259,0.193266667,-1.161481481,0.299266667,-0.798592593
0.2,0.044866667,-0.754037037,0.087333333,-0.914592592,0.125866667,-1.145222222,0.1252,-1.429185185,0.2504,-1.15537037
0.25,0.003733333,-0.790555556,0.0362,-1.015481481,0.060666667,-1.308296296,0.045266667,-1.574185185,0.182133333,-1.473740741
0.3,-0.0372,-0.751592593,-0.018066667,-1.021925926,-0.0102,-1.344,-0.0386,-1.563740741,0.098933333,-1.69137037
0.35,-0.074333333,-0.639555556,-0.07,-0.928703704,-0.079066667,-1.246296296,-0.117266667,-1.399037037,0.007066667,-1.762666667
0.4,-0.103733333,-0.463666667,-0.114666667,-0.742777778,-0.1398,-1.024333333,-0.183866667,-1.098555556,-0.0842,-1.665074074
0.45,-0.122466667,-0.243222222,-0.147133333,-0.485,-0.185533333,-0.701703704,-0.231466667,-0.690185185,-0.1658,-1.407814815
0.5,-0.128933333,-0.000518519,-0.164933333,-0.18237037,-0.212466667,-0.315074074,-0.255466667,-0.217296296,-0.2304,-1.014592593
0.55,-0.122466667,0.24062963,-0.166,0.135888889,-0.218133333,0.098925926,-0.253733333,0.270222222,-0.2712,-0.523592593
0.6,-0.1038,0.455259259,-0.150666667,0.437259259,-0.202066667,0.499703704,-0.227133333,0.725074074,-0.284533333,0.012666667
0.65,-0.075066667,0.623,-0.120466667,0.693074074,-0.166,0.846555556,-0.1782,1.103740741,-0.2696,0.541148148
0.7,-0.039,0.727777778,-0.078466667,0.876962963,-0.113933333,1.106222222,-0.112266667,1.369777778,-0.228066667,1.010333333
0.75,0.0006,0.759703704,-0.029266667,0.972703704,-0.050866667,1.253037037,-0.035733333,1.497925926,-0.1644,1.374666667
0.8,0.040066667,0.714407407,0.0226,0.972259259,0.016333333,1.27462963,0.043466667,1.476518519,-0.084933333,1.597481481
0.85,0.074933333,0.597,0.071933333,0.873074074,0.081666667,1.169,0.117866667,1.306666667,0.0018,1.65862963
0.9,0.102066667,0.421592593,0.1134,0.686740741,0.138,0.945296296,0.179333333,1.007,0.087466667,1.555148148
0.95,0.118666667,0.206185185,0.1432,0.434518519,0.179733333,0.631740741,0.222333333,0.612037037,0.163466667,1.297444444
1,0.1234,-0.027481481,0.158466667,0.14162963,0.203466667,0.259962963,0.242733333,0.16162963,0.222266667,0.913074074
1.05,0.115866667,-0.258703704,0.157866667,-0.163333333,0.206666667,-0.13462963,0.238866667,-0.298518519,0.258266667,0.441555556
1.1,0.0964,-0.461888889,0.141333333,-0.448592593,0.189266667,-0.511296296,0.211533333,-0.724592593,0.267866667,-0.066740741
1.15,0.067666667,-0.615481481,0.111066667,-0.685629629,0.1534,-0.834,0.1634,-1.074962963,0.250933333,-0.559740741
1.2,0.0324,-0.707,0.07,-0.852851852,0.102466667,-1.071,0.0996,-1.31462963,0.209466667,-0.991703704
1.25,-0.005933333,-0.72637037,0.022333333,-0.933740741,0.0418,-1.196703704,0.026666667,-1.422111111,0.147733333,-1.321962963
1.3,-0.043066667,-0.674222222,-0.027066667,-0.921666667,-0.021933333,-1.203296296,-0.0482,-1.388740741,0.071933333,-1.518481481
1.35,-0.075933333,-0.556555556,-0.073466667,-0.818222222,-0.083133333,-1.093,-0.117666667,-1.218259259,-0.0102,-1.562481481
1.4,-0.101066667,-0.381703704,-0.1122,-0.632555556,-0.1356,-0.873814815,-0.174866667,-0.926962963,-0.090466667,-1.451518519
1.45,-0.115533333,-0.17062963,-0.139133333,-0.386037037,-0.173933333,-0.569185185,-0.213933333,-0.545962963,-0.161133333,-1.195962963
1.5,-0.1186,0.053703704,-0.1522,-0.104,-0.194733333,-0.209481481,-0.231466667,-0.114518519,-0.2148,-0.822444444
1.55,-0.11,0.272703704,-0.149866667,0.186037037,-0.195466667,0.165888889,-0.225666667,0.323814815,-0.2464,-0.372222222
1.6,-0.0902,0.463037037,-0.132733333,0.454555556,-0.177266667,0.519851852,-0.197533333,0.723777778,-0.2532,0.108444444
1.65,-0.061666667,0.603703704,-0.102466667,0.674925926,-0.1414,0.820185185,-0.1502,1.04662963,-0.235,0.574259259
1.7,-0.0274,0.683185185,-0.062533333,0.826814815,-0.0918,1.034481481,-0.0886,1.262333333,-0.193266667,0.977333333
1.75,0.009333333,0.694740741,-0.016533333,0.89637037,-0.0336,1.141259259,-0.018933333,1.351518519,-0.133133333,1.277555556
1.8,0.044866667,0.636555556,0.030866667,0.873148148,0.0268,1.135037037,0.051866667,1.306851852,-0.060333333,1.447703704
1.85,0.075533333,0.514962963,0.0742,0.763888889,0.0842,1.019407407,0.116933333,1.132444444,0.0174,1.472703704
1.9,0.098333333,0.343518519,0.110133333,0.581185185,0.1328,0.80262963,0.1696,0.846037037,0.0928,1.350814815
1.95,0.111133333,0.140074074,0.1346,0.341592593,0.167666667,0.506333333,0.204733333,0.478888889,0.157866667,1.094407407
2,0.112933333,-0.07737037,0.145666667,0.068444445,0.185333333,0.162185185,0.2192,0.068296296,0.2064,0.732851852
2.05,0.103066667,-0.286037037,0.1416,-0.208814815,0.184333333,-0.193814815,0.211733333,-0.345888889,0.233933333,0.301703704
2.1,0.083,-0.462518519,0.123733333,-0.460666667,0.165,-0.526185185,0.183066667,-0.721259259,0.2376,-0.154851852
2.15,0.054866667,-0.590481481,0.0936,-0.664185185,0.129533333,-0.803333333,0.136466667,-1.018962963,0.217533333,-0.589148148
2.2,0.021666667,-0.660074074,0.054666667,-0.800666667,0.081333333,-0.997222222,0.077,-1.212074074,0.176066667,-0.958481481
2.25,-0.0138,-0.663185185,0.0104,-0.857814815,0.025733333,-1.089333333,0.010466667,-1.284148148,0.117733333,-1.228481481
2.3,-0.047333333,-0.599518519,-0.034666667,-0.827074074,-0.031866667,-1.073444444,-0.056533333,-1.227851852,0.048333333,-1.375037037
2.35,-0.076066667,-0.477333333,-0.0756,-0.713777778,-0.085866667,-0.950666667,-0.1172,-1.049333333,-0.025333333,-1.382592593
2.4,-0.096933333,-0.308185185,-0.108733333,-0.531925926,-0.1308,-0.732185185,-0.1656,-0.767407407,-0.095466667,-1.251666667
2.45,-0.108066667,-0.10937037,-0.130933333,-0.297148148,-0.161866667,-0.443481481,-0.196866667,-0.412,-0.155333333,-0.99862963
